Player,Index,TotalWins
Asciak M.,861,4
Vitcov A.,862,1
Cervos Noguer E.,863,3
Poux-Gautier J.,864,1
Dontu V.,865,0
Rocens M.,866,1
Sudzuka O.,867,0
Niyigena E.,868,1
Samaha G.,869,4
Kelley H.,870,1
Enosoregbe C.,871,1
Babalola A.,872,1
Chinamo T.,873,1
Ghezal Y.,874,2
Merzuki M. A.,875,2
Janahi F.,876,7
Alawadhi O.,877,9
Abdul Razak A. D.,878,1
Tidimane I.,879,0
Sibanda L. A.,880,2
Fakih N.,881,1
Yakpa M.,882,1
Al Mutawa J.,883,2
Diaz A.,884,4
Llompart A.,885,0
Estrada Y.,886,1
Felder M.,887,3
Maresca S.,888,1
Bicknell J.,889,2
Roca I.,890,2
Orazmuhammedov M.,891,2
Bun K.,892,12
Batjargal G.,893,0
Norbu P.,894,0
Krusling M.,895,1
Gyeltshen N.,896,0
Purevdorj U.,897,2
Rogusskiy Y.,898,9
Al Toobli F.,899,0
Camacho C.,900,5
Abdulaal H.,901,0
Caldwell M.,902,1
Batbayar K.,903,0
Hobbs R.,904,13
Alshati A.,905,1
Alabdullah B.,906,3
Okuhama D.,907,2
Ashraf Y.,908,0
Alqattan E.,909,0
Mirdzhaliev M.,910,4
Ali M. K.,911,0
Hossain M. R.,912,1
Kamchibekov I.,913,1
Fazeel A. F.,914,2
Al-Saedi A. M.,915,4
Hatem A. A.,916,3
Shiyam A.,917,1
Alansi G.,918,4
Sallam H.,919,1
Sydow P.,920,4
Bogelin C.,921,1
Louis W.,922,0
Sydow F.,923,3
Del Olmo L.,924,0
Mohammed N.,925,1
Finnigan J.,926,0
Turino O.,927,1
Murraine R.,928,0
Duke A.,929,0
Miller F.,930,0
Nwokolo E. P.,931,0
Cadogan J.,932,2
Lai Fat Fur L. A.,933,0
Igbinovia W. O.,934,0
Obiang Ondo L.,935,2
Iradukunda G.,936,1
Gatoto A.,937,0
Lam Hau Ching J.,938,1
Lebendje W.,939,2
Madueke N.,940,0
De Rossi M.,941,7
Degabriele A.,942,0
Galvani S.,943,2
Muedini M.,944,2
Mammetgulyyev I.,945,9
Kistanov K.,946,5
Al Suleimani I. A.,947,1
Qaed Y.,948,3
Abdulnabi H.,949,7
Alkhanjari M.,950,0
Diushembiev N.,951,0
Alhogbani A.,952,11
Moghimi S.,953,3
Abuzed Saber M.,954,2
Al Janahi A.,955,4
Badi A. H.,956,1
Janahi H. A.,957,3
Al Busaidi A.,958,1
Tep T.,959,0
Coulibaly E.,960,6
Aguma B.,961,2
Quitomina Z.,962,0
Ntomosso B.,963,1
Ostap D.,964,0
Andre F.,965,1
Mezenga Lentom C. G.,966,0
Tayebwa F.,967,2
De Luigi S.,968,0
Mjeshtri E.,969,2
Tsiang T.,970,3
Sylhasi F.,971,0
Oparaoji U.,972,3
Seetso D.,973,3
Biyamba Nzila A.,974,0
Bajraliu G.,975,3
Jadoun N.,976,3
Languina Y.,977,0
Mustafi M.,978,0
Teboh E.,979,2
Gelabert D.,980,2
Abdulnabi E.,981,6
Al Barwani A.,982,10
Roy S.,983,5
Al Nabhani M.,984,12
Bahadli A.,985,0
Lal S.,986,1
Stubbings M.,987,3
Sharifov I.,988,0
Enkhbaatar A.,989,0
Abdulloev A.,990,0
Ankhbayar T.,991,2
Mam P.,992,4
Orashev A.,993,3
Erdenebayar D.,994,2
Leuch V. F.,995,4
Dushi R.,996,0
Kranz T.,997,1
Siddall D.,998,3
Soghoyan A.,999,4
Rodeiro-Stetson R.,1000,1
Bothwell P.,1001,5
Carr S.,1002,9
Forster R.,1003,2
Agius D.,1004,1
Tommesani F.,1005,1
Khachatryan M.,1006,1
Vicini D.,1007,2
Cassar Torregiani M.,1008,0
Nortey I.,1009,2
Abban H.,1010,2
Holmes T.,1011,0
Uwizeyiman M.,1012,1
Lekang A.,1013,0
Al-Saady A.,1014,6
Thant A. M.,1015,3
Babak E.,1016,4
Oo Z. S.,1017,0
Rana M.,1018,1
Zainy B.,1019,0
Al Mayahi A. K. H.,1020,3
Wai T. M.,1021,5
Odinaev F.,1022,0
Charyyev H.,1023,0
Naing A. K.,1024,1
Umarov S.,1025,0
Dawani A.,1026,5
Lal D.,1027,0
Temuugei E.,1028,1
Gurbanov A.,1029,1
Munkhbaatar B.,1030,6
Oyunbat B.,1031,0
Rana M. J.,1032,0
Hossain F.,1033,0
Al Suleimani Z.,1034,0
Our S.,1035,0
Yakhyaev M.,1036,2
Makashin S.,1037,1
Al Rebdi F.,1038,1
Bapari M.,1039,0
Ajdukovic D.,1040,1
Galarneau A.,1041,3
Prizmic D.,1042,5
Middelkoop M.,1043,1
Mejia N.,1044,4
Milushev A.,1045,0
Barrientos N.,1046,2
Petrovic A.,1047,0
Sultanov K.,1048,2
Fomin S.,1049,2
Nam Ji S.,1050,1
Serdarusic N.,1051,7
Fayziev S.,1052,1
Krstin P.,1053,5
Valkusz M.,1054,3
Cagnina J.,1055,0
Khassanov R.,1056,0
De Bakker T.,1057,2
Zimonjic N.,1058,0
Buse I.,1059,1
Oliel Y.,1060,5
Cukierman D.,1061,4
Nedic A.,1062,0
Bueno G.,1063,1
Moeller E.,1064,2
Milev Y.,1065,0
Fule M.,1066,1
Fatic N.,1067,2
Cretu C.,1068,1
Holmgren A.,1069,6
Orlov V.,1070,2
Krutykh O.,1071,8
Alcocer L.,1072,1
Ozolins K.,1073,2
Uchida K.,1074,6
Rubio Fierros A. F.,1075,0
Huertas Del Pino C.,1076,1
Ramirez C.,1077,0
Heide G.,1078,0
Gaubas V.,1079,1
Ovcharenko O.,1080,0
Charoenphon Y.,1081,3
Samrej K.,1082,3
Huertas Del Pino A.,1083,1
Butvilas E.,1084,1
Pucinelli de Almeida M.,1085,6
Bielinskyi V.,1086,1
Alvarez N.,1087,2
Hellum Lilleengen L.,1088,1
Beloborodko I.,1089,0
Fernandez Flores D.,1090,1
Shoaib M.,1091,1
Boitan G. A.,1092,1
Dellien Velasco M. A.,1093,1
Carou I.,1094,1
Tabet R.,1095,0
Jianu F. C.,1096,3
Ibrahim H.,1097,0
Tverijonas J.,1098,0
Flores A. J.,1099,0
Duran D.,1100,0
Aguilar Cardozo J.,1101,1
Singh D.,1102,1
Ng K. L.,1103,1
Roncadelli F.,1104,0
Cruz C.,1105,0
Artnak B.,1106,2
Berkieta T.,1107,1
Sasikumar M.,1108,2
El Natour M.,1109,1
Becroft I.,1110,0
Pieczkowski O.,1111,3
Boblei F.,1112,0
Nguyen D. T.,1113,0
Marshall K.,1114,1
Kouame M. Y. H.,1115,0
Hatamleh K.,1116,0
Kriznik M.,1117,0
Tens D.,1118,0
Gandini A. J.,1119,0
Nesterov P.,1120,1
Lajal M.,1121,3
M Rifqi F.,1122,2
Roelofse R.,1123,1
Henning P.,1124,1
Dominko S.,1125,0
Ingildsen J.,1126,1
Sigsgaard C.,1127,1
Marek W.,1128,0
Kasnikowski M.,1129,1
Benchakroun A.,1130,1
Davlianidze N.,1131,0
Olivarez E.,1132,0
Trismuwantara G.,1133,1
Saborio J.,1134,0
Luna Lavidalie F.,1135,0
Pecotic M.,1136,5
Zhu E.,1137,1
Kuzuhara B.,1138,1
Brown P.,1139,0
Toledo B. P.,1140,0
Kozlov B.,1141,0
Bester P.,1142,0
Kopriva V.,1143,17
Shanan Al Harrasi I.,1144,0
Golubev A.,1145,0
Puetz T.,1146,2
Lopez-Perez E.,1147,3
Gabr A.,1148,0
McGee J.,1149,2
Little D.,1150,0
Hussey G.,1151,0
Konecny M.,1152,0
Bambridge L.,1153,1
Rocha H.,1154,2
Araujo P.,1155,1
Baldi F.,1156,6
Cacao T.,1157,0
Monteiro J.,1158,1
Gil F.,1159,1
Nikles J.,1160,3
Gerch L.,1161,0
Wenger D.,1162,0
Paul J.,1163,1
Jahn J.,1164,1
Gakhov I.,1165,6
Donati M.,1166,1
Michnev P.,1167,1
Landaluce M.,1168,0
Merida Aguilar D.,1169,0
Barroso Campos A.,1170,0
Neuchrist M.,1171,1
Ender P.,1172,0
Marti Y.,1173,1
Bodmer A.,1174,1
Eysseric J.,1175,3
Squire H.,1176,2
Moeller M.,1177,0
Topo M.,1178,6
Esteve L. E.,1179,0
Lane L.,1180,0
Hampel L.,1181,1
Welte M.,1182,0
Lenz J.,1183,6
Hildebrandt J. J.,1184,0
Gabriel N.,1185,0
Loof T.,1186,0
Martineau M.,1187,3
Niesten M.,1188,1
Doumbia S.,1189,1
Riba P.,1190,1
Molteni A.,1191,0
Neumayer L.,1192,3
Feldbausch K.,1193,0
Schwarzler J. J.,1194,0
Dutra Da Silva D.,1195,1
Kopp S.,1196,1
Thiem M.,1197,0
Hsieh C.,1198,0
Haim M.,1199,0
Linzer M.,1200,1
Fery A.,1201,0
Harris B.,1202,1
Corrie E.,1203,0
Kumar O.,1204,5
Cozbinov A.,1205,4
Panta J.,1206,1
Alvarez Valdes L. C.,1207,2
Smith K.,1208,1
Villanueva G.,1209,1
Descotte M. F.,1210,0
Sanchez Hirales O. M.,1211,0
Brymer G.,1212,1
Batalla Diez J. I.,1213,0
Grills J.,1214,1
Hank T.,1215,0
Song E.,1216,2
Llamas Ruiz P.,1217,3
Blanchet U.,1218,2
Lopez San Martin A.,1219,2
Jacquet K.,1220,1
Cornut-Chauvinc A.,1221,1
Michon A.,1222,0
Bennani R.,1223,1
Moro Canas A.,1224,1
Gimeno-Traver D.,1225,0
McCabe J.,1226,2
Rosenkranz M.,1227,1
Bonadio R.,1228,7
Lalami Laaroussi Y.,1229,0
Ahouda W.,1230,1
Matos R.,1231,0
Karlovskiy E.,1232,2
Zhurbin A.,1233,0
Gueymard Wayenburg S.,1234,0
Chazal M.,1235,0
Added D.,1236,0
Paris T.,1237,1
Furness E.,1238,2
Fassbender B.,1239,0
Duran G.,1240,0
Schott H.,1241,0
Geller A.,1242,0
Cobolli F.,1243,12
Delmas A.,1244,0
Diep F.,1245,0
Chidekh C.,1246,2
Olivetti A.,1247,0
Gutierrez-Ferrol S.,1248,0
Sharan D.,1249,0
Draxl L.,1250,0
Weekes J.,1251,0
Sigouin B.,1252,0
Leduc A.,1253,0
Krainik P.,1254,0
Stevenson K.,1255,0
Kachmazov A.,1256,2
Dubrivnyy A.,1257,2
Matsukevitch D.,1258,0
Zick C.,1259,0
Chung Y.,1260,2
Spizzirri E.,1261,1
Blumberg W.,1262,3
Weintraub A.,1263,0
Poling K.,1264,0
Krajicek A.,1265,3
Kingsley C.,1266,0
Ghedjemis R.,1267,3
Kadhe A.,1268,0
Harris A.,1269,0
Sureshkumar M.,1270,0
Myneni S.,1271,2
Pungliya J.,1272,0
Falla A.,1273,3
Lapentti G.,1274,1
Paz J. P.,1275,0
Ribeiro E.,1276,1
Boscardin Dias P.,1277,0
Alves M.,1278,0
Rodrigues N.,1279,0
Sorgi J. P.,1280,2
Maestrelli F.,1281,1
Agamenone F.,1282,6
Forti F.,1283,0
Fonio G.,1284,0
Gigante M.,1285,0
Balzerani R.,1286,0
Houkes M.,1287,0
Pontjodikromo S.,1288,0
Nijboer R.,1289,1
Sels J.,1290,0
Lootsma N.,1291,0
Ayeni A.,1292,0
Nunez D. A.,1293,0
Torres Fernandez B. I.,1294,0
Vernier M.,1295,0
Romboli F.,1296,0
Nunez V.,1297,0
Yamacita F.,1298,0
Zampieri C.,1299,1
Atmane T.,1300,3
Weber A.,1301,2
Palan D.,1302,2
Sun F.,1303,2
Zhou Y.,1304,0
Li H.,1305,0
Hua R.,1306,0
He Y.,1307,0
Donski A.,1308,1
Forejtek J.,1309,1
Ornago F.,1310,1
Tepavac M.,1311,1
Friberg K.,1312,1
Rodriguez C.,1313,1
Mridha J.,1314,1
Freund S.,1315,0
Renard L.,1316,1
Simonsson F.,1317,0
Avidzba A.,1318,2
Vasilenko A.,1319,0
Tiurnev E.,1320,1
Ignatik U.,1321,3
Elgin M.,1322,1
Rehberg M. H.,1323,0
Moraing O.,1324,0
Maute J.,1325,0
Petzschner P.,1326,0
Martin F.,1327,0
Barton M.,1328,3
Shimizu Y.,1329,3
Tanuma R.,1330,0
Imai S.,1331,0
Biljesko D.,1332,0
Torebko P.,1333,2
Barranco Cosano J.,1334,0
Kalender A.,1335,0
Langer N.,1336,0
Trusendi W.,1337,0
Sakellaridis S.,1338,1
Soares B.,1339,0
Pichler D.,1340,0
Kittay B.,1341,0
Escoffier A.,1342,2
Fenty A.,1343,0
Lawson A.,1344,0
Galloway R.,1345,0
Reyes N. A.,1346,0
Cerretani J.,1347,0
Thomas D.,1348,0
Hiltzik J.,1349,1
Koontz H.,1350,0
Bangoura S.,1351,2
Halebian A.,1352,2
Goetz R.,1353,0
Moser F.,1354,0
Kirchheimer S.,1355,2
Montes-De La Torre I.,1356,1
Walton A.,1357,0
Sarmiento R.,1358,3
Nguyen D.,1359,1
Baadi T.,1360,0
Zhao Z.,1361,0
Schoolkate T.,1362,0
Riffice S.,1363,0
Willis M.,1364,0
Dostanic S.,1365,0
Boyer T.,1366,0
Lamchinniah H.,1367,0
Walkin B.,1368,0
Addison A.,1369,0
Erel Y.,1370,0
Bellotti R.,1371,2
Iakovlev A.,1372,0
Jebavy R.,1373,0
Kudryavtsev A.,1374,0
Aitkulov A.,1375,0
Chopra K.,1376,0
Gromley C.,1377,0
Reinberg E.,1378,0
Gard C.,1379,0
Wattanakul P.,1380,0
Zielinski J.,1381,0
Oswald P.,1382,0
Jones G.,1383,0
Demoliner M.,1384,0
Matkowski M.,1385,0
Huey T.,1386,0
Gautier A.,1387,0
Brunold M.,1388,0
Dahlin M.,1389,0
Gutierrez O. J.,1390,0
Arvidsson I.,1391,1
Goransson A.,1392,0
Nagy P.,1393,0
Gomez F. A.,1394,0
Lindell Ch.,1395,3
Galarza J. I.,1396,0
Li W.,1397,0
Gao X.,1398,0
Tokuda R.,1399,0
Navone M.,1400,0
Tenti F.,1401,0
Krall L.,1402,0
Chakravarthi C.,1403,0
Zgirovsky A.,1404,0
Hidalgo D.,1405,1
Shyla Y.,1406,1
Park M.,1407,0
Zhyrmont D.,1408,0
Antonescu V.,1409,0
Echazu M.,1410,1
Yu Ch. Y.,1411,0
Ismailov T.,1412,1
Mashtakov N.,1413,0
Merino A.,1414,0
Arevalo R.,1415,1
Marrero J. E.,1416,0
Torres Garcia G.,1417,0
Chigaazira M.,1418,0
Wong C. H.,1419,0
Kilani Y.,1420,0
Shubladze V.,1421,0
El Mesbahi S.,1422,0
Ortiz Garcia J. E.,1423,0
Souto D.,1424,0
Arus R.,1425,1
Anker P. A.,1426,0
Beretta D.,1427,1
Hossein Zade M.,1428,0
Wachiramanowong K.,1429,0
Newman S.,1430,1
Andriamasilalao L.,1431,2
Oger T.,1432,2
Ternar T.,1433,0
Rakotondramanga A.,1434,3
Mugevicius L.,1435,1
Le Quoc-K.,1436,0
Alawadhi A.,1437,0
Tierro P.,1438,0
Ramazzini L.,1439,0
Williams S.,1440,0
Banzer R.,1441,1
Jdi M.,1442,0
Rastogi K.,1443,1
Rosenholm P.,1444,1
Li Hei Y. A.,1445,0
Sasongko A. H.,1446,0
Shahgholi A.,1447,0
Benchakroun M.,1448,1
Seda R.,1449,0
Shah K.,1450,0
Al Marzouqi A.,1451,0
Alfaraj A.,1452,0
Liew C. A. S.,1453,0
Sigauque A.,1454,0
Gomez J. G.,1455,0
Escurra Isnardi H. J.,1456,2
Markovski O.,1457,1
Snitari I.,1458,5
Bugarikj B.,1459,1
Botran Neutze R.,1460,0
Besimo G.,1461,0
Yedigaryan R.,1462,0
Mkrtchyan A.,1463,0
Abd Hazli I. D.,1464,0
Wijemanne T. S.,1465,0
Nawaf M.,1466,0
Karenzi B.,1467,2
Muhire J.,1468,0
Antwi S. A.,1469,1
McIntosh-Ross K. C.,1470,1
Sosa Rodriguez D. J.,1471,0
Rodriguez D.,1472,0
Nkrumah P.,1473,0
Delicata L.,1474,0
Etim P.,1475,0
Mohd S.,1476,1
Towlson N.,1477,1
Zuniga Mendoza G.,1478,1
Manders G.,1479,1
Paul C.,1480,0
Oringa D.,1481,0
Wouobong Ngoumtsa C.,1482,0
Bedminster C.,1483,0
Malcolm M.,1484,0
Selita G.,1485,0
Bulat M.,1486,0
Barbieri A.,1487,1
Zund S.,1488,0
Jauregui G.,1489,0
Matvievici E.,1490,0
Kalovelonis M.,1491,0
Stergiou I.,1492,0
Asatryan T.,1493,0
Mouhan A.,1494,1
Ghshuot M.,1495,1
Yasri H.,1496,0
Al-Aswad H.,1497,0
Ernepesov A.,1498,1
Pochay G.,1499,0
Alyamani M.,1500,0
Gatete H.,1501,0
Williams C.,1502,0
Pineda R.,1503,0
Whitter J.,1504,0
Simmalavong S.,1505,3
Llarenas D.,1506,3
Songbandith S.,1507,0
Rasavady V.,1508,1
Wangchuk T.,1509,1
Chansomphou X.,1510,0
Singye Dorji T.,1511,0
Abdullah A.,1512,0
Wong B. K.,1513,2
Ishaq A.,1514,0
Abdullah M. A.,1515,0
Guilleme J.,1516,4
Shamsi L.,1517,2
Marquez L.,1518,1
Germinal J. A.,1519,1
Gallegos A.,1520,1
Bendana F.,1521,1
Bass N.,1522,0
Kebede Y.,1523,1
Kamdem B.,1524,2
Andre S.,1525,1
Mohammed A. N.,1526,0
Nkwain C. W.,1527,1
Azizov T.,1528,3
Bonifacius R.,1529,1
Gasimov K.,1530,0
Trilla Clanchet J.,1531,0
Baatar O.,1532,0
Puntsag S.,1533,0
Hussein N.,1534,1
Abdulnabi A.,1535,1
Cazac M.,1536,0
Watat Njanga L. S.,1537,1
Dieng H.,1538,0
Gorban A.,1539,0
Sargsyan N.,1540,0
Hashimov E.,1541,0
Ogombe P.,1542,0
Biboussy D. F.,1543,0
Sulstarova A.,1544,0
Monteiro N.,1545,0
Cajigan C.,1546,2
Urumbaev F.,1547,2
Suwaed A.,1548,0
Sukhbaatar S.,1549,0
Batirbekov E.,1550,0
Hossain M.,1551,0
Bytyqi B.,1552,0
Zulji M.,1553,0
Simoncini T.,1554,0
Muro-Loscertales J.,1555,1
Mokobo A.,1556,0
Gurbanberdiyev G.,1557,1
Huynh J. P.,1558,1
Mukhidinov F.,1559,0
Kotlyarevsky G.,1560,0
Mukhudinov A.,1561,0
Tsogt O.,1562,0
Surotin D.,1563,0
Kaukovalta P.,1564,0
March A. C.,1565,0
Ostapenkov D.,1566,1
Szintai D.,1567,0
Borsos G.,1568,0
Balaji N. S.,1569,0
Bojanovic D.,1570,0
Karimov J.,1571,1
Bossel A.,1572,0
Budkov Kjaer N.,1573,0
Huang T.,1574,0
Andrade A.,1575,0
Agwi M.,1576,0
Guillen Meza A.,1577,1
Arutiunian E.,1578,0
Patael B.,1579,0
Murray F.,1580,1
Gannon C.,1581,1
Azar D.,1582,0
Jones M.,1583,1
Seeman J.,1584,1
Badenhorst D.,1585,0
van Wyk K.,1586,0
Bertran P.,1587,1
Beckley A.,1588,0
Prado Angelo J. C.,1589,0
Garcia R.,1590,0
Bassem Sobhy M.,1591,0
Kurniawan L.,1592,0
Wibowo T.,1593,0
Bu Y.,1594,1
Barki N. A.,1595,0
Cronje L.,1596,0
Christodoulou S.,1597,0
Kupfers R.,1598,0
Miralles L.,1599,0
Lamas Villarroel F.,1600,0
Ncube T.,1601,0
Badra D.,1602,0
Manusis E.,1603,0
Barki J.,1604,1
Troost S.,1605,0
Glinka D.,1606,1
Kai W. Y.,1607,0
Yeung P. L.,1608,0
Lam C.,1609,0
Haerteis J.,1610,1
Krawcewicz K.,1611,0
Melo M.,1612,0
Whitehouse M.,1613,0
Cox D.,1614,0
Maxted L.,1615,0
Jaloviec M.,1616,0
Gray J.,1617,0
Basso A.,1618,0
Cabral F.,1619,0
Baltensperger R.,1620,0
Weis A.,1621,0
Margaroli L.,1622,0
Guttau N.,1623,0
Deckers A.,1624,0
Baker B.,1625,1
Sieber M.,1626,0
Zelenay I.,1627,0
Parker S.,1628,0
Lemaitre L.,1629,0
Gomez J. S.,1630,0
Bravo E.,1631,0
Reyes-Varela M. A.,1632,0
Magadan A.,1633,0
Sau Franco A.,1634,0
Darras M.,1635,0
Plans J.,1636,0
Semmler M.,1637,0
Ktiri M.,1638,0
Saadi I.,1639,0
Chakrouni A.,1640,0
Tifnouti T.,1641,0
Legout T.,1642,0
Marti J.,1643,0
Damm M.,1644,0
Kodat T.,1645,0
Kirkov V.,1646,0
Monette S.,1647,0
Manji R.,1648,0
Florig P.,1649,0
Angele J. F.,1650,0
Lin J. M.,1651,0
Smith R.,1652,0
El M. A.,1653,0
Kushnirovich G.,1654,0
Khan S.,1655,0
Vardhan V.,1656,0
Ponce C.,1657,0
Fonseca J.,1658,0
Reis Da Silva J.,1659,0
Pereira J.,1660,0
Ferrari G.,1661,0
Gaedechens M.,1662,0
Ursu V.,1663,0
Teisen Pereira G.,1664,0
Sa A.,1665,0
Donev G.,1666,0
Sidorenko A.,1667,0
Eriksson S.,1668,0
Yitbarek S.,1669,0
Terczynski M.,1670,0
Monroe N.,1671,0
Nakagawa N.,1672,0
Mochizuki Y.,1673,0
Uesugi K.,1674,0
Brkic J.,1675,0
Poljicak M.,1676,0
Savin R.,1677,0
Seelig K.,1678,1
Trotter J. K.,1679,0
Colby R.,1680,0
Maciag R.,1681,0
Shane R.,1682,0
Matosevic M.,1683,1
Farren C.,1684,0
Spencer W.,1685,0
Gooch D.,1686,0
Moroni F.,1687,0
Zlobinsky J.,1688,0
Sell K.,1689,0
Mo Y. C.,1690,0
Dong B.,1691,0
